"","trip_no","departure_airport","arrival_airport","depart_date","roundtrip","class","opt_personal","opt_flight_no","great_circle_dist_km","tCO2_eq_kg","yearmon","quarter","dep_lat","dep_long","arriv_lat","arriv_lon"
"1",1,"KEF","DPS",2019-06-10,"Yes","Economy","No",NA,13050.8486210937,2218.64426558592,2019-06-01,2019.2,63.985000610352,-22.605600357056,-8.7481698989868,115.16699981689
"2",1,"DPS","KEF",2019-06-15,"Yes","Economy",NA,NA,13050.8486210937,2218.64426558592,2019-06-01,2019.2,-8.7481698989868,115.16699981689,63.985000610352,-22.605600357056
"3",2,"KEF","LAX",2019-06-20,"No","Economy","No",NA,6934.05975190258,1178.79015782344,2019-06-01,2019.2,63.985000610352,-22.605600357056,33.94250107,-118.4079971
"4",3,"LAX","SVO",2019-06-27,"Yes","Economy","No",NA,9768.41142717569,1660.62994261987,2019-06-01,2019.2,33.94250107,-118.4079971,55.972599,37.4146
"5",3,"SVO","LAX",2019-07-02,"Yes","Economy",NA,NA,9768.41142717569,1660.62994261987,2019-07-01,2019.3,55.972599,37.4146,33.94250107,-118.4079971
"6",4,"LAX","ZAG",2019-07-21,"Yes","Economy","Yes",NA,10055.2642678915,1709.39492554155,2019-07-01,2019.3,33.94250107,-118.4079971,45.7429008484,16.0687999725
"7",4,"ZAG","LAX",2019-08-02,"Yes","Economy",NA,NA,10055.2642678915,1709.39492554155,2019-08-01,2019.3,45.7429008484,16.0687999725,33.94250107,-118.4079971
"8",5,"ZRH","DCA",2019-08-16,"No","Economy","No",NA,6658.87275442208,1132.00836825175,2019-08-01,2019.3,47.464699,8.54917,38.8521,-77.037697
"9",5,"ZRH","DCA",2019-08-16,"No","Economy","No",NA,6658.87275442208,1132.00836825175,2019-08-01,2019.3,0,0,38.8521,-77.037697
"10",6,"DCA","LGA",2019-08-24,"No","Economy","No",NA,345.167471242874,58.6784701112886,2019-08-01,2019.3,38.8521,-77.037697,40.77719879,-73.87259674
"11",7,"LGA","ORD",2019-08-31,"Yes","Economy","No",NA,1178.37370765649,200.323530301604,2019-08-01,2019.3,40.77719879,-73.87259674,41.9786,-87.9048
"12",7,"ORD","LGA",2019-09-05,"Yes","Economy",NA,NA,1178.37370765649,200.323530301604,2019-09-01,2019.3,41.9786,-87.9048,40.77719879,-73.87259674
"13",8,"ORD","HND",2019-09-15,"No","Economy","No",NA,10135.2563879045,1722.99358594376,2019-09-01,2019.3,41.9786,-87.9048,35.552299,139.779999
"14",9,"HND","PVG",2019-09-30,"No","Economy","No",NA,1739.15820744224,295.656895265181,2019-09-01,2019.3,35.552299,139.779999,31.1434001922607,121.805000305176
"15",10,"PVG","ULN",2019-10-31,"Yes","Economy","Yes",NA,2254.9452148769,383.340686529073,2019-10-01,2019.4,31.1434001922607,121.805000305176,47.843102,106.766998
"16",10,"ULN","PVG",2019-11-02,"Yes","Economy",NA,NA,2254.9452148769,383.340686529073,2019-11-01,2019.4,47.843102,106.766998,31.1434001922607,121.805000305176
"17",11,"PVG","MNL",2019-11-12,"Yes","Economy","No",NA,1853.50936132247,315.09659142482,2019-11-01,2019.4,31.1434001922607,121.805000305176,14.5086,121.019997
"18",11,"MNL","PVG",2019-11-20,"Yes","Economy",NA,NA,1853.50936132247,315.09659142482,2019-11-01,2019.4,14.5086,121.019997,31.1434001922607,121.805000305176
"19",12,"PVG","DEL",2019-11-30,"No","Economy","No",NA,4296.28299878877,730.368109794091,2019-11-01,2019.4,31.1434001922607,121.805000305176,28.5665,77.103104
